Sr. No.,Authors,Title,Journal,issn no.,volume,issue,Year,Domain,Faculty,Ptype
1,"Nikita Nerkar,Atharva Nile,Onkar Kadlag,Prashant Gadakh",Explainable AI in intrusion detection system,International Journal of Psychosocial Rehabilitation,1475-7192,24,6,2020,"AI, Cyber security",Prashant Gadakh,Journal
2,"Prashant Gadakh,Ansh Jain,Ritika Dave",AutoML for Model Compression and Acceleration on Mobile Devices using Reinforcement Learning,International Journal of Advanced Science and Technology,4578 – 4583,29,6,2020,Machine learning,Prashant Gadakh,Journal
3,"Radha Yelikar,Pearl Swaminathan,Minakshi Chilm,Eshwari Bhujbal,Sandeep Patil",Social Media Analysis and online Marketing,International research journal of engineering and technology (IRJET),2395-0056,7,5,2020,Data Science,Sandeep Patil,Journal
4,"Sushmita Nooka,Ninad Kheratkar,Aboli Pathak,Shreyas Kumbhar,Ashwini Jarali",Gesture controlled home automation using CNN,International Research Journal of Engineering and Technology (IRJET,2395-0056,7,3,2020,Deep learning,Ashwini Jarali,Journal
5,"Fenil Mehta,Hrishikesh Raipure,Shubham Shirsat,Shashank Bhatnagar,Bailappa Bhovi",A Survey of Deep Learning on Chess,Journal of Engineering Research and Application,2248-9622,10,4,2020,Deep learning,Bailappa Bhovi,Journal
6,"Akshay Biradar,Ali Saheeb Tinwala,Jayan Vinod,Lawrence Crasto,Bailappa Bhovi",Automated H.R. System,Mukt Shabd Journal,2347-3150,9,6,2020,"Cloud computing, Geotracking",Bailappa Bhovi,Journal
7,"Priyankan Kumar,Janhavi Danage,Prassanna Desale,Bailappa Bhovi",Deep Learning for Plant Species & Disease Identification,International Journal of Engineering Research and Applications,2248-9622,10,5,2020,Deep learning,Bailappa Bhovi,Journal
8,"Fenil Mehta,Hrishikesh Raipure,Shubham Shirsat,Sashank Bhatnagar,Bailappa Bhovi",Predicting Chess Moves with Multilayer Perceptron and Limited Lookahead,Journal of Engineering Research and Application,2248-9622,10,4,2020,"AI, Neural network",Bailappa Bhovi,Journal
9,"Angad Gude,Shubham Pawar,Siddharth Alhat,Sashikala Mishra,Rajesh K. Upadhyay",Vibration Analysis for Engine fault Detection,"International Journal of Advance Research in Engineering, Science & Technology",2393-9877 2394-1944,7,6,2020,IOT,Sashikala Mishra,Journal
10,"Sashikala Mishra,Prashant Gadakh,Chinmay Gosavi,Shivam B,Shrinit Padwal,Vishal Kasar",Novel Approach for Measuring Nutrition Values Using Smart phone,Advances in Intelligent Systems and Computing book series (AISC),,1101,0,2020,no,Sashikala Mishra,Journal
11,Ramkrushna Maheshwar,Enabling Authorized Encrypted Search for MultiAuthority Medical Databases using 3DES,International Journal for Research in Applied Science & Engineering Technology (IJRASET),2321-9653,8,7,2020,Information Security,no,Journal
